x	Curve1
0,001675	28,133
0,00693	30,533
0,019967	33,067
0,035586	35,2
0,044187	33,733
0,051881	30,8
0,057832	27,333
0,063789	24,133
0,068019	20,933
0,076501	15,333
0,081594	12,133
0,088439	9,733
0,093575	8
0,097052	8,667
0,098869	11,733
0,101558	15,067
0,105142	19,467
0,106163	24,933
0,11226	26,533
0,118425	30,533
0,120181	31,467
0,129738	33,2
0,133207	33,6
0,145357	35,333
0,156593	35,333
0,164287	32,4
0,172811	28,267
0,177912	25,333
0,188891	16,4
0,195717	13,333
0,205946	8,4
0,212027	9,467
0,221085	23,867
0,224623	26,667
0,229916	30,4
0,239504	33,2
0,251662	35,2
0,268134	36,933
0,277561	34,133
0,287767	28,4
0,292861	25,2
0,297954	22
0,303889	18
0,307235	14,133
0,31579	11,067
0,320914	8,933
0,328762	11,333
0,332507	21,333
0,34135	28,267
0,346644	32
0,357092	34,667
0,372711	36,8
0,382241	37,6
0,385664	36,4
0,402739	29,067
0,411194	22,533
0,421323	14,133
0,428149	11,067
0,437603	9,2
0,440238	10,667
0,441168	12,933
0,455515	30,933
0,463382	34
0,47728	36,4
0,494616	38,133
0,519362	27,067
0,522724	23,733
0,537132	13,867
0,543959	10,8
0,550001	10,533
0,554411	13,6
0,561598	23,067
0,563438	26,933
0,566142	30,8
0,57487	33,733
0,579237	35,333
0,583594	36,533
0,594841	36,933
0,600046	37,6
0,60958	38,533
0,62324	32,667
0,635168	26,667
0,644414	17,6
0,658896	10,267
0,665891	13,067
0,673965	23,333
0,676681	27,6
0,681091	30,667
0,686369	33,867
0,696825	36,8
0,714157	38,4
0,727107	37,867
0,733936	34,933
0,761076	16,933
0,765305	13,733
0,772995	10,667
0,779983	13,2
0,788914	23,2
0,790742	26,667
0,796935	31,6
0,803077	34,8
0,812665	37,6
0,829997	39,2
0,83778	39,333
0,846338	36,4
0,855726	32,267
0,862522	28,133
0,870078	20,4
0,878586	15,733
0,88368	12,533
0,893157	11,467
0,898465	15,733
0,901135	18,4
0,902119	22,533
0,90745	27,6
0,911034	32
0,911053	32,667
0,917173	35,067
0,919785	35,733
0,928489	37,867
0,931958	38,267
0,944957	39,467
0,957046	39,067
0,96217	36,933
0,964721	35,467
0,969815	32,267
0,976633	28,933
0,980006	26
0,985099	22,8
0,986763	20,533
0,991856	17,333
